"";"raster_id";"shape_index";"FWIclass";"julday";"per_fc";"yearf";"feco";"fgener";"fresp";"area";"perimeter";"ftype"
"136";"THU67_1996_1222_rbr";1,890782431;"High";164;54,7156726768377;1996;"Lake Nipigon";"LTG";"SUP";4710782,428;16415,2716;"IFR"
"137";"RED9_1997_1238_rbr";2,7991648;"Low";154;97,8902006553845;1997;"Lake Wabigoon";"LTG";"SUP";18473734,92;48124,45378;"IFR"
"138";"THU90_1996_1274_rbr";1,421137507;"Low";165;66,0899890590809;1996;"Lake Nipigon";"LTG";"SUP";92478095,86;54665,77787;"IFR"
"139";"SLK66_1996_1275_rbr";1,612814623;"Extreme";163;99,8726655348048;1996;"Lake St. Joseph";"LTG";"PRO";1913938,848;8925,005089;"IFR"
"140";"NIP66_1995_1281_rbr";1,440006832;"High";170;69,2538126361656;1995;"Big Trout Lake";"LTG";"SUP";3174029,856;10261,95363;"IFR"
"141";"NIP24_1998_1285_rbr";1,361626056;"Low";138;97,1412070459139;1998;"Lake Nipigon";"LTG";"SUP";5734023,87;13042,10202;"IFR"
"142";"NIP79_1996_1296_rbr";1,266099456;"Extreme";164;98,1026562812064;1996;"Big Trout Lake";"LTG";"MON";3936836,446;10048,50608;"IFR"
"143";"FOR9_1998_1300_rbr";1,141395901;"High";113;91,937984496124;1998;"Pigeon River";"MIS";"SUP";551710,7609;3391,189253;"IFR"
"144";"GER35_1989_1301_rbr";1,402217017;"High";171;97,7020138714798;1989;"Big Trout Lake";"LTG";"PRO";10638676,25;18294,43584;"IFR"
"145";"THU122_1998_1306_rbr";0,978376379;"Low";194;99,712643678161;1998;"Lake Nipigon";"LTG";"SUP";280582,7686;2072,986379;"IFR"
"146";"THU36_1996_1313_rbr";2,243854233;"High";163;97,6692989719872;1996;"Lake Nipigon";"LTG";"PRO";39243922,98;56226,47266;"IFR"
"147";"THU86_1996_1314_rbr";1,595458431;"High";164;98,6197602007622;1996;"Lake Nipigon";"LTG";"SUP";16977823,81;26295,80653;"IFR"
"148";"DRY26_1995_1350_rbr";2,096353773;"Extreme";170;78,4629981024668;1995;"Lake Nipigon";"LTG";"SUP";10566283,67;27257,47978;"IFR"
"149";"NIP76_1996_1383_rbr";1,939366957;"Moderate";164;96,7140674122307;1996;"Big Trout Lake";"LTG";"MON";87643129,64;72623,79204;"IFR"
"150";"THU53_1995_1395_rbr";1,14448787;"High";170;79,2383742218968;1995;"Lake Nipigon";"LTG";"MON";4348318,486;9546,229225;"IFR"
"151";"WAW13_2003_1409_rbr";2,876572668;"Extreme";164;92,9217919708731;2003;"Lake Nipigon";"LTG";"SUP";263858010;186904,8118;"IFR"
"152";"DRY57_2003_1410_rbr";2,206854813;"High";171;93,1336742147553;2003;"Pigeon River";"REC";"SUP";8048638,973;25043,49728;"IFR"
"153";"SLK58_2003_1412_rbr";4,387685825;"High";169;97,9424991426073;2003;"Lake St. Joseph";"LTG";"SUP";345826105,4;326380,6486;"IFR"
"154";"DRY5_2003_1418_rbr";1,016056047;"Moderate";99;15,3005464480875;2003;"Lake Wabigoon";"RES";"SUP";153542,9318;1592,548146;"IFR"
"155";"FOR11_2003_1420_rbr";1,488963931;"High";120;54,811320754717;2003;"Agassiz Clay Plain";"MIS";"SUP";1788691,064;7965,47791;"IFR"
"156";"NIP58_2003_1421_rbr";3,140137741;"Moderate";171;91,6348148957082;2003;"Lake Nipigon";"LTG";"SUP";7585623,542;34594,28292;"IFR"
"157";"KEN110_2003_1423_rbr";1,911919489;"High";229;90,84864391951;2003;"Lake Wabigoon";"UNK";"SUP";4717581,87;16610,75277;"IFR"
"158";"SLK20_2003_1434_rbr";1,311082876;"Low";136;100;2003;"Lake Nipigon";"RWY";"SUP";431973,0699;3446,818958;"IFR"
"159";"RED65_2003_1440_rbr";1,446276427;"Low";168;81,9460726846424;2003;"Lake St. Joseph";"LTG";"SUP";1329859,106;6671,355972;"IFR"
"160";"DRY58_2003_1441_rbr";2,079479727;"High";169;97,4110032362459;2003;"Lake Wabigoon";"LTG";"SUP";798155,5013;7431,191238;"IFR"
"161";"RED83_1991_1455_rbr";1,58785656;"High";228;64,4390885188431;1991;"Lake St. Joseph";"LTG";"MON";7274652,059;17130,78924;"IFR"
"162";"DRY24_1996_1466_rbr";2,002937884;"High";163;98,3745398872927;1996;"Lake Wabigoon";"LTG";"SUP";25433348,33;40404,45396;"IFR"
"163";"RED77_1995_1467_rbr";2,403676602;"Moderate";166;98,8370752776884;1995;"Lake St. Joseph";"LTG";"SUP";169032379,1;125003,1564;"IFR"
"164";"FOR14_2003_1484_rbr";1,258316735;"High";123;87,4723655121591;2003;"Agassiz Clay Plain";"RES";"SUP";1134146,514;5360,243822;"IFR"
"165";"NIP17_2003_1485_rbr";1,851238552;"High";145;95,118230358505;2003;"Lake Nipigon";"RWY";"SUP";2117731,516;10776,00606;"IFR"
"166";"THU28_2003_1502_rbr";1,910671513;"High";128;99,2727272727272;2003;"Pigeon River";"RES";"SUP";488366,1836;5340,953684;"IFR"
"167";"THU31_2005_1510_rbr";1,411450315;"High";204;91,714510863447;2005;"Lake Nipigon";"RWY";"FUL";14158268,81;21243,72462;"IFR"
"168";"NIP112_2005_1518_rbr";1,363239034;"Moderate";219;74,4003488879198;2005;"Big Trout Lake";"LTG";"FUL";3578243,543;10314,94585;"IFR"
